manazana,lot,map_latitude,map_longitude
02,16,1133.7993354218067,1017.2589856136419
02,17,1068.615749935884,995.531123785001
02,18,1096.2693922632452,944.174359462759
02,19,1114.046733759406,902.6938959717172
02,20,1129.8488150893265,855.2876519819553
02,21,1157.5024574166878,811.8319283246734
02,22,1178.831560283688,769.5926418439718
02,23,1203.9725177304967,724.8976063829789
02,24,1212.352836879433,680.202570921986
02,25,1210.83448190517,622.2069523656256
02,26,1240.463384398771,592.5780498720244
02,27,1264.166506393652,543.1965457160223
02,28,1284.9822695035464,502.81914893617034
02,29,1306.6345999678138,454.3098382352187
02,30,1331.325352045815,412.829374744177
02,31,1342.1892829601354,372.3365413362553
02,32,1359.0084219858159,328.22916666666674
03,01,1700.69900313271,479.9882203963398
03,02,1684.8969218027894,521.4686838873815
03,03,1663.1690599741485,560.9738872121832
03,04,1650.9228723404258,611.7632978723406
03,05,1628.5753546099295,655.0616134751774
03,06,1606.227836879433,703.9468085106384
03,07,1592.2606382978727,744.4516843971633
03,08,1567.1196808510642,782.163120567376
03,09,1566.3813118283845,831.5845299870742
03,10,1547.5656028368796,872.2515514184399
03,11,1511.250886524823,919.0416666666669
03,12,1488.9033687943265,962.3399822695037
03,13,1472.1427304964543,1008.4317375886527
03,14,1449.7952127659578,1053.1267730496456
03,15,1434.038880690299,1097.2570223463651
03,16,1418.2367993603784,1140.712746003647
03,17,1338.0576241134754,1108.9955673758868
03,18,1357.6117021276598,1065.6972517730499
03,19,1377.1657801418442,1016.8120567375888
03,20,1392.5296985815605,973.513741134752
03,21,1416.2739361702131,930.2154255319151
03,22,1435.8280141843975,885.5203900709222
03,23,1456.7543726020601,841.4608308182746
03,24,1474.5317140982208,798.992737244113
03,25,1496.2595759268618,752.5741233374711
03,26,1509.854166666667,712.3271276595746
03,27,1528.0115248226953,666.2353723404257
03,28,1546.1688829787238,621.5403368794327
03,29,1567.1196808510642,578.2420212765959
03,30,1586.6737588652486,533.546985815603
03,31,1607.624556737589,488.85195035461004
03,32,1636.9556737588655,446.95035460992915
04,01,1963.408605242641,596.5285702045046
04,02,1943.6560035802402,641.9595540280264
04,03,1931.6635638297876,687.1861702127661
04,04,1920.4898049645394,729.087765957447
04,05,1895.348847517731,775.1795212765959
04,06,1875.7947695035464,817.0811170212768
04,07,1856.7445562656765,865.1639528131557
04,08,1840.8767730496459,907.1695478723406
04,09,1829.5847289798755,952.0754001277193
04,10,1791.9915780141848,997.2579787234044
04,11,1776.6276595744685,1043.3497340425533
04,12,1759.867021276596,1081.0611702127662
04,13,1749.092877205592,1129.8488150893265
04,14,1723.5523049645394,1174.64140070922
04,15,1702.601507092199,1212.352836879433
04,16,1681.9340315534293,1263.1788763105321
04,17,1596.0102143219858,1222.6860429026103
04,18,1615.7628159843866,1177.2550590790886
04,19,1633.5401574805474,1137.749855754287
04,20,1662.0966312056742,1092.2349290780144
04,21,1678.9711413040693,1051.8260385228434
04,22,1702.601507092199,1007.0350177304966
04,23,1712.378546099291,959.5465425531917
04,24,1736.1227836879436,917.6449468085108
04,25,1757.073581560284,875.74335106383
04,26,1776.6276595744685,831.0483156028371
04,27,1800.3718971631208,784.9565602836881
04,28,1815.7358156028372,741.6582446808512
04,29,1842.917735101996,697.2668386827487
04,30,1856.240691489362,650.8714539007093
04,31,1871.6046099290784,610.3665780141845
04,32,1892.5554078014188,565.6715425531916
